solved,solution_depth,nodes_expanded,runtime
True,16,575,0.002342099993256852
True,20,2809,0.011773399994126521
True,18,1681,0.007171999997808598
True,16,560,0.0021529999939957634
True,20,3248,0.02387289999751374
True,14,258,0.0010119000071426854
True,20,3993,0.01644579999265261
True,14,276,0.0010413999989395961
True,20,2924,0.011686500001815148
True,16,592,0.002371599999605678
True,14,231,0.000880400009918958
True,18,1052,0.004095700001926161
True,18,1404,0.005490399998961948
True,14,178,0.000675299990689382
True,16,615,0.0023764000070514157
True,14,204,0.0007697999972151592
True,16,674,0.0026199999992968515
True,20,4436,0.017798500004573725
True,20,3834,0.01624699999229051
True,18,1317,0.005160799992154352
True,20,2909,0.011597300006542355
True,20,3106,0.01231069999630563
True,20,3473,0.013780399996903725
True,12,74,0.00028229999588802457
True,20,3739,0.015434400003869087
True,20,4319,0.027656499994918704
True,10,49,0.00018760000239126384
True,16,696,0.002705999999307096
True,20,4153,0.016736999998101965
True,16,560,0.0022394999978132546
True,20,3092,0.012314200008404441
True,14,269,0.0010132000024896115
True,18,1439,0.006379300000844523
True,20,3249,0.013505099996109493
True,20,3172,0.012847199992393143
True,16,545,0.002138399999239482
True,18,1392,0.005525200002011843
True,18,1818,0.007296399999177083
True,20,2833,0.011385699996026233
True,14,288,0.0010842999909073114
True,20,4169,0.016754199998104014
True,16,613,0.0023434999893652275
True,20,2832,0.011341399993398227
True,20,3259,0.023128200002247468
True,20,3494,0.014079399988986552
True,14,193,0.0007345999911194667
True,18,1788,0.007159000000683591
True,20,3159,0.012461799997254275
True,18,1032,0.004016100006992929
True,20,3465,0.01388270000461489
True,20,3356,0.013728999998420477
True,20,3326,0.013249499999801628
True,18,1308,0.00526489999901969
True,20,4167,0.016960300010396168
True,18,1657,0.006494500004919246
True,18,1140,0.004401500002131797
True,6,7,2.950000634882599e-05
True,12,94,0.00042799999937415123
True,12,135,0.0005056999943917617
True,18,1989,0.007988400000613183
True,20,3254,0.013722500007133931
True,16,405,0.0018103000038536265
True,18,1690,0.006615899997996166
True,16,789,0.003061999988858588
True,20,3892,0.026675100001739338
True,16,616,0.0023959999962244183
True,18,1648,0.006452500005252659
True,18,1334,0.005219500002567656
True,18,1292,0.005638500006170943
True,18,1647,0.006466600010753609
True,18,1589,0.006349299990688451
True,18,1538,0.006003199989208952
True,8,9,3.709999145939946e-05
True,16,739,0.002920700004324317
True,20,3408,0.013891000009607524
True,18,1485,0.005939199996646494
True,20,3265,0.013151000006473623
True,20,4380,0.01805430000240449
True,16,615,0.0024158000014722347
True,18,1273,0.0051122000004397705
True,14,231,0.0009224000095855445
True,18,1436,0.005664500000420958
True,14,290,0.0011086000013165176
True,20,3108,0.012510200001997873
True,16,534,0.00209569999424275
True,18,1490,0.005926400001044385
True,18,1254,0.004854999991948716
True,16,588,0.0022807000059401616
True,12,101,0.00038640000275336206
True,18,1302,0.005096399996546097
True,16,502,0.002090699999826029
True,20,2599,0.010533900000154972
True,20,3197,0.023733399997581728
True,18,1676,0.006842899994808249
True,20,3188,0.013030599991907366
True,16,472,0.0019364999898243695
True,16,569,0.002275000006193295
True,20,2866,0.011517000006278977
True,18,1341,0.005282099999021739
True,18,1267,0.005022099998313934
